url,city,family_edition,value,you_save,discount_pct,num_sold,sold_out,started_at,weekday_start,duration,category,likes
http://livingsocial.com/deals/33678-30-to-spend-on-food-drink-and-games,Atlanta,0,30,15,50,972,0,4/27/2011,Wed,1,Restaurant,51
http://livingsocial.com/deals/28702-one-month-of-unlimited-fitness-classes,Atlanta,0,238,208,87,280,0,4/28/2011,Thu,1,Health,12
http://livingsocial.com/deals/40782-children-s-cookie-painting-kit-or-party,Atlanta,1,40,21,53,69,0,4/28/2011,Thu,7,Entertainment,20
http://livingsocial.com/deals/39418-pint-glasses-tour-and-tasting,Atlanta,0,22,11,50,1717,0,4/29/2011,Fri,3,Entertainment,37
http://livingsocial.com/deals/24634-20-to-spend-on-food-and-drink,Atlanta,0,20,10,50,532,0,4/30/2011,Sat,2,Restaurant,10
http://livingsocial.com/deals/38813-20-to-spend-on-loose-leaf-tea-or-tea-for-two,Atlanta,0,20,10,50,333,0,5/1/2011,Sun,2,Specialty Food,10
http://livingsocial.com/deals/33599-five-indoor-playground-passes,Atlanta,1,37,22,59,267,0,5/2/2011,Mon,7,Entertainment,27
http://livingsocial.com/deals/27752-20-to-spend-on-food-and-drink,Atlanta,0,20,10,50,491,0,5/3/2011,Tue,1,Restaurant,20
http://livingsocial.com/deals/41090-gulf-coast-getaway,Atlanta,0,150,75,50,477,0,5/4/2011,Wed,7,Escapes,95
http://livingsocial.com/deals/38391-private-27-or-semi-private-33-tennis-lesson,Atlanta,0,55,28,51,306,0,5/4/2011,Wed,1,Health,6
http://escapes.livingsocial.com/deals/33193-one-month-of-classes-or-week-of-summer-camp,Atlanta,1,145,110,76,232,0,5/5/2011,Thu,7,Entertainment,5
http://livingsocial.com/deals/38893-35-to-spend-on-food-and-drink,Atlanta,0,35,18,51,1103,0,5/5/2011,Thu,1,Restaurant,57
http://livingsocial.com/deals/33184-40-70-or-100-to-spend-on-salon-services,Atlanta,0,40,20,50,88,0,5/7/2011,Sat,2,Beauty,0
http://livingsocial.com/deals/27577-20-fitness-classes,Atlanta,0,200,180,90,636,0,5/8/2011,Sun,2,Health,20
http://livingsocial.com/deals/41224-wine-tasting-and-education-for-two,Atlanta,0,50,25,50,474,0,5/9/2011,Mon,1,Entertainment,15
http://escapes.livingsocial.com/deals/31138-kids-hip-hop-summer-camp,Atlanta,1,49,25,51,13,0,5/9/2011,Mon,7,Entertainment,15
http://livingsocial.com/deals/45355-80-to-spend-on-photo-to-canvas-printing,Atlanta,0,80,40,50,984,0,5/10/2011,Tue,1,Services,28
http://livingsocial.com/deals/30334-carpet-cleaning-of-two-rooms,Atlanta,0,90,45,50,211,0,5/11/2011,Wed,1,Services,2
http://livingsocial.com/deals/36554-7-nights-in-costa-rica,Atlanta,0,2584,1088,42,179,0,5/11/2011,Wed,7,Escapes,257
http://livingsocial.com/deals/42553-two-or-four-tickets-+-popcorn-+-50-off-retail,Atlanta,0,24,13,54,290,0,5/12/2011,Thu,1,Entertainment,17
http://escapes.livingsocial.com/deals/29661-five-open-bounce-sessions,Atlanta,1,35,20,57,230,0,5/12/2011,Thu,7,Entertainment,22
http://livingsocial.com/deals/41353-photofacial-microdermabrasion-or-botox,Atlanta,0,200,100,50,143,0,5/13/2011,Fri,3,Beauty,13
http://livingsocial.com/deals/27968-20-to-spend-on-food-and-drink,Atlanta,0,20,10,50,401,0,5/14/2011,Sat,2,Restaurant,4
http://livingsocial.com/deals/33185-half-dozen-7-or-one-dozen-14-cupcakes,Atlanta,0,15,8,53,292,0,5/15/2011,Sun,1,Specialty Food,7
http://livingsocial.com/deals/37305-tennis-academy-or-sports-camp,Atlanta,1,75,45,60,20,0,5/16/2011,Mon,7,Entertainment,1
http://livingsocial.com/deals/37081-whitewater-rafting-trip,Atlanta,0,30,15,50,1069,0,5/16/2011,Mon,2,Entertainment,52
http://livingsocial.com/deals/31343-basic-or-fruit-facial,Atlanta,0,30,15,50,277,0,5/17/2011,Tue,1,Skincare,11
http://livingsocial.com/deals/29043-25-to-spend-on-food-and-drink,Atlanta,0,25,13,52,440,0,5/18/2011,Wed,1,Restaurant,8
http://livingsocial.com/deals/38911-historic-savannah-mansion,Atlanta,0,318,159,50,302,0,5/18/2011,Wed,7,Escapes,57
http://livingsocial.com/deals/41803-three-hour-kids-cooking-class,Atlanta,1,50,25,50,24,0,5/19/2011,Thu,7,Entertainment,11
